,RegionName,variable,value
636,Brighton Park,1997-04,93742.0
637,Englewood,1997-04,0.0
638,Jefferson Park,1997-04,167524.0
639,Portage Park,1997-04,171869.0
640,South Loop,1997-04,153352.0
641,Humboldt Park,1997-04,101431.0
642,Gage Park,1997-04,73922.0
643,Bridgeport,1997-04,167811.0
644,Edgewater,1997-04,107267.0
645,Lake View East,1997-04,154029.0
646,South Shore,1997-04,48342.0
647,Cragin,1997-04,136634.0
648,Back of the Yards,1997-04,0.0
649,West Lawn,1997-04,110989.0
650,Bronzeville,1997-04,91784.0
651,Belmont Central,1997-04,129783.0
652,Marquette Park,1997-04,94167.0
653,Garfield Ridge,1997-04,142448.0
654,Near North,1997-04,177371.0
655,West Pullman,1997-04,50679.0
656,South Chicago,1997-04,0.0
657,West Town,1997-04,213012.0
658,West Englewood,1997-04,0.0
659,North Austin,1997-04,61937.0
660,East Garfield Park,1997-04,0.0
661,Ravenswood,1997-04,179526.0
662,East Side,1997-04,77042.0
663,Hermosa,1997-04,77640.0
664,North Center,1997-04,248325.0
665,Roseland,1997-04,38107.0
666,Streeterville,1997-04,213155.0
667,West Elsdon,1997-04,106994.0
668,Bucktown,1997-04,247777.0
669,Hyde Park,1997-04,173478.0
670,Chicago Lawn,1997-04,69689.0
671,Chatham,1997-04,73718.0
672,Clearing,1997-04,133775.0
673,Avondale,1997-04,154631.0
674,Heart of Chicago,1997-04,130198.0
675,University Village - Little Italy,1997-04,224087.0
676,Morgan Park,1997-04,116448.0
677,Mount Greenwood,1997-04,140091.0
678,Archer Heights,1997-04,100590.0
679,O'Hare,1997-04,154828.0
680,Near West Side,1997-04,152278.0
681,Galewood,1997-04,122643.0
682,Park Manor,1997-04,69967.0
683,Montclare,1997-04,125617.0
684,Gold Coast,1997-04,240511.0
685,Irving Park,1997-04,164750.0
686,Scottsdale,1997-04,116152.0
687,West Humboldt Park,1997-04,0.0
688,Lincoln Park,1997-04,243757.0
689,West Garfield Park,1997-04,0.0
690,Ashburn,1997-04,106798.0
691,McKinley Park,1997-04,67382.0
692,Woodlawn,1997-04,91692.0
693,Beverly,1997-04,198678.0
694,Brainerd,1997-04,86192.0
695,Belmont Heights,1997-04,150173.0
696,Belmont Gardens,1997-04,103694.0
697,Wicker Park,1997-04,227305.0
698,Old Irving Park,1997-04,199436.0
699,The Loop,1997-04,179197.0
700,Calumet Heights,1997-04,92884.0
701,Grand Crossing,1997-04,0.0
702,Old Town,1997-04,188449.0
